name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Black Coffee - Remastered 1999,1,66mJ6dfdHmV29VkdTFs35i,0,2022,0,0.327,0.129,9.0,-18.446,1.0,0.051,0.332,0.000226,0.348,0.211,73.993,audio_features,66mJ6dfdHmV29VkdTFs35i,spotify:track:66mJ6dfdHmV29VkdTFs35i,https://api.spotify.com/v1/tracks/66mJ6dfdHmV29VkdTFs35i,https://api.spotify.com/v1/audio-analysis/66mJ6dfdHmV29VkdTFs35i,184960.0,4.0
Chapter 19 - Dance Me to the End - Ten Months and Ten Days with ALS,2,3dTQttPhNjFYIrMbc4RgjL,0,2022,0,0.627,0.286,11.0,-16.564,1.0,0.955,0.344,4e-06,0.113,0.333,82.047,audio_features,3dTQttPhNjFYIrMbc4RgjL,spotify:track:3dTQttPhNjFYIrMbc4RgjL,https://api.spotify.com/v1/tracks/3dTQttPhNjFYIrMbc4RgjL,https://api.spotify.com/v1/audio-analysis/3dTQttPhNjFYIrMbc4RgjL,188325.0,1.0
Chapter 17 - Dance Me to the End - Ten Months and Ten Days with ALS,2,4VBGsT5gb0UC9VLsYCSEwV,0,2022,0,0.711,0.297,9.0,-16.806,1.0,0.859,0.536,2.32e-05,0.141,0.471,108.352,audio_features,4VBGsT5gb0UC9VLsYCSEwV,spotify:track:4VBGsT5gb0UC9VLsYCSEwV,https://api.spotify.com/v1/tracks/4VBGsT5gb0UC9VLsYCSEwV,https://api.spotify.com/v1/audio-analysis/4VBGsT5gb0UC9VLsYCSEwV,181324.0,3.0
Chapter 15 - Dance Me to the End - Ten Months and Ten Days with ALS,2,18Kk65wEsfun5jx86732mI,0,2022,0,0.691,0.275,8.0,-16.479,0.0,0.934,0.463,0.0,0.105,0.361,102.351,audio_features,18Kk65wEsfun5jx86732mI,spotify:track:18Kk65wEsfun5jx86732mI,https://api.spotify.com/v1/tracks/18Kk65wEsfun5jx86732mI,https://api.spotify.com/v1/audio-analysis/18Kk65wEsfun5jx86732mI,182534.0,3.0
Chapter 10 - Dance Me to the End - Ten Months and Ten Days with ALS,2,4DxceDRflaCQ6NS7CHTtqg,0,2022,0,0.703,0.299,9.0,-16.091,1.0,0.918,0.465,0.0,0.12,0.407,84.827,audio_features,4DxceDRflaCQ6NS7CHTtqg,spotify:track:4DxceDRflaCQ6NS7CHTtqg,https://api.spotify.com/v1/tracks/4DxceDRflaCQ6NS7CHTtqg,https://api.spotify.com/v1/audio-analysis/4DxceDRflaCQ6NS7CHTtqg,182586.0,3.0
Chapter 14 - Dance Me to the End - Ten Months and Ten Days with ALS,2,5x1dH0jOIwAeioCWUq5Cvo,0,2022,0,0.648,0.309,8.0,-15.568,0.0,0.939,0.561,0.0,0.117,0.581,78.191,audio_features,5x1dH0jOIwAeioCWUq5Cvo,spotify:track:5x1dH0jOIwAeioCWUq5Cvo,https://api.spotify.com/v1/tracks/5x1dH0jOIwAeioCWUq5Cvo,https://api.spotify.com/v1/audio-analysis/5x1dH0jOIwAeioCWUq5Cvo,180813.0,3.0
Chapter 13 - Dance Me to the End - Ten Months and Ten Days with ALS,2,6HaZK084Nt9n3zpYkibYqb,0,2022,0,0.664,0.292,6.0,-15.991,1.0,0.927,0.393,1.09e-05,0.0955,0.402,85.137,audio_features,6HaZK084Nt9n3zpYkibYqb,spotify:track:6HaZK084Nt9n3zpYkibYqb,https://api.spotify.com/v1/tracks/6HaZK084Nt9n3zpYkibYqb,https://api.spotify.com/v1/audio-analysis/6HaZK084Nt9n3zpYkibYqb,185994.0,3.0
Chapter 18 - Dance Me to the End - Ten Months and Ten Days with ALS,2,1fC8ANC8kwZcue3VKIlplb,0,2022,0,0.678,0.312,9.0,-16.805,1.0,0.916,0.477,2.9e-06,0.138,0.477,96.418,audio_features,1fC8ANC8kwZcue3VKIlplb,spotify:track:1fC8ANC8kwZcue3VKIlplb,https://api.spotify.com/v1/tracks/1fC8ANC8kwZcue3VKIlplb,https://api.spotify.com/v1/audio-analysis/1fC8ANC8kwZcue3VKIlplb,184901.0,4.0
Chapter 16 - Dance Me to the End - Ten Months and Ten Days with ALS,2,2I13Y9zPRFxfuwoQrrcUfY,0,2022,0,0.632,0.336,8.0,-16.665,0.0,0.955,0.548,0.0,0.131,0.359,170.91,audio_features,2I13Y9zPRFxfuwoQrrcUfY,spotify:track:2I13Y9zPRFxfuwoQrrcUfY,https://api.spotify.com/v1/tracks/2I13Y9zPRFxfuwoQrrcUfY,https://api.spotify.com/v1/audio-analysis/2I13Y9zPRFxfuwoQrrcUfY,183227.0,3.0
Chapter 12 - Dance Me to the End - Ten Months and Ten Days with ALS,2,3kBzE6oma7gymewn3Osyua,0,2022,0,0.7,0.331,9.0,-15.703,1.0,0.911,0.545,0.0,0.146,0.49,103.817,audio_features,3kBzE6oma7gymewn3Osyua,spotify:track:3kBzE6oma7gymewn3Osyua,https://api.spotify.com/v1/tracks/3kBzE6oma7gymewn3Osyua,https://api.spotify.com/v1/audio-analysis/3kBzE6oma7gymewn3Osyua,191263.0,5.0
